Layer,Config,Model,Acc,F1,AUC,Speaker_Vote,Speaker_F1,Speaker_Acc
6,EN -> EN,LR,0.7147350993377484,0.638405036726128,0.7849102951168694,-,0.0,0.0
6,EN -> EN,SVM-Linear,0.7230132450331126,0.6590584878744651,0.7955537917083499,-,0.0,0.0
6,EN -> EN,SVM-RBF,0.6854304635761589,0.5508274231678487,0.7252486409680655,-,0.0,0.0
6,EN -> EN,GRU,0.5652173913043478,0.375,0.5980392156862745,-,0.375,0.5652173913043478
6,EN -> EN,CLeaD,0.6793046357615894,0.64360625574977,0.7941044083723363,-,0.0,0.0
6,EN -> EN,CLeaD w/o SupCon,0.687251655629139,0.5670410268164108,0.7305251389417704,-,0.0,0.0
6,EN -> ZH,LR,0.4979114452798663,0.21335078534031413,0.49972480652641577,"0/5 MDD, 5/5 HC",0.0,0.5
6,EN -> ZH,SVM-Linear,0.49456975772765244,0.2361111111111111,0.4840806861676864,"0/5 MDD, 5/5 HC",0.0,0.5
6,EN -> ZH,SVM-RBF,0.4899749373433584,0.20039292730844793,0.4953838739418322,"0/5 MDD, 5/5 HC",0.0,0.5
6,EN -> ZH,GRU,0.6,0.7142857142857143,0.64,"5/5 MDD, 1/5 HC",0.7142857142857143,0.6
6,EN -> ZH,CLeaD,0.48872180451127817,0.41714285714285715,0.4828482524515967,"0/5 MDD, 4/5 HC",0.0,0.4
6,EN -> ZH,CLeaD w/o SupCon,0.504594820384294,0.29572446555819476,0.4937243315732127,"0/5 MDD, 5/5 HC",0.0,0.5
6,ZH -> EN,LR,0.5632450331125828,0.40798922800718135,0.5774884304239286,-,0.0,0.0
6,ZH -> EN,SVM-Linear,0.5710264900662252,0.4197088465845465,0.591541580568676,-,0.0,0.0
6,ZH -> EN,SVM-RBF,0.5516556291390728,0.36964618249534453,0.5756553745025299,-,0.0,0.0
6,ZH -> EN,GRU,0.6956521739130435,0.2222222222222222,0.607843137254902,-,0.2222222222222222,0.6956521739130435
6,ZH -> EN,CLeaD,0.5458609271523179,0.22184397163120567,0.5568465229664488,-,0.0,0.0
6,ZH -> EN,CLeaD w/o SupCon,0.5587748344370861,0.1872522110399512,0.5449252122019225,-,0.0,0.0
6,ZH -> ZH,LR,0.539264828738513,0.4632603406326034,0.5382840220154779,"2/5 MDD, 5/5 HC",0.5714285714285714,0.7
6,ZH -> ZH,SVM-Linear,0.5484544695071011,0.47600581677169174,0.5432074707345012,"3/5 MDD, 5/5 HC",0.75,0.8
6,ZH -> ZH,SVM-RBF,0.539264828738513,0.455846077947706,0.5326572234794513,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
6,ZH -> ZH,GRU,0.5,0.2857142857142857,0.4,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
6,ZH -> ZH,CLeaD,0.5179615705931495,0.31715976331360946,0.5703196155672896,"1/5 MDD, 5/5 HC",0.3333333333333333,0.6
6,ZH -> ZH,CLeaD w/o SupCon,0.49665831244778613,0.256631708821715,0.5325391836392591,"0/5 MDD, 5/5 HC",0.0,0.5
6,MIX -> EN,LR,0.6740066225165563,0.5673478356405186,0.7224351216045692,-,0.0,0.0
6,MIX -> EN,SVM-Linear,0.6935430463576159,0.5962922573609597,0.7474239254332001,-,0.0,0.0
6,MIX -> EN,SVM-RBF,0.6624172185430464,0.4815662344266463,0.6950314549435141,-,0.0,0.0
6,MIX -> EN,GRU,0.391304347826087,0.46153846153846156,0.5,-,0.46153846153846156,0.391304347826087
6,MIX -> EN,CLeaD,0.6486754966887417,0.15323224261771748,0.6177483224845985,-,0.0,0.0
6,MIX -> EN,CLeaD w/o SupCon,0.6658940397350993,0.354033290653009,0.6525160910264552,-,0.0,0.0
6,MIX -> ZH,LR,0.5154553049289892,0.46691176470588236,0.5033400385550246,"3/5 MDD, 5/5 HC",0.75,0.8
6,MIX -> ZH,SVM-Linear,0.5246449456975772,0.48646209386281586,0.5152830162322242,"3/5 MDD, 5/5 HC",0.75,0.8
6,MIX -> ZH,SVM-RBF,0.5221386800334169,0.43478260869565216,0.5364722152376163,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
6,MIX -> ZH,GRU,0.4,0.5714285714285714,0.52,"4/5 MDD, 0/5 HC",0.5714285714285714,0.4
6,MIX -> ZH,CLeaD,0.5025062656641605,0.2210595160235448,0.5687823038024195,"0/5 MDD, 5/5 HC",0.0,0.5
6,MIX -> ZH,CLeaD w/o SupCon,0.49832915622389307,0.23258785942492013,0.522209649931551,"0/5 MDD, 5/5 HC",0.0,0.5
7,EN -> EN,LR,0.696523178807947,0.6238456802790888,0.768240864479345,-,0.0,0.0
7,EN -> EN,SVM-Linear,0.6902317880794702,0.6304562512344459,0.7665155019365109,-,0.0,0.0
7,EN -> EN,SVM-RBF,0.3932119205298013,0.5382386292049893,0.7525957148780791,-,0.0,0.0
7,EN -> EN,GRU,0.5652173913043478,0.375,0.5588235294117647,-,0.375,0.5652173913043478
7,EN -> EN,CLeaD,0.7043046357615894,0.5735434574976123,0.7428274956239118,-,0.0,0.0
7,EN -> EN,CLeaD w/o SupCon,0.6619205298013245,0.6063993831919815,0.7388861209382314,-,0.0,0.0
7,EN -> ZH,LR,0.5225563909774437,0.26495176848874596,0.5444367613779231,"0/5 MDD, 5/5 HC",0.0,0.5
7,EN -> ZH,SVM-Linear,0.5004177109440268,0.23234916559691912,0.4936223563266561,"0/5 MDD, 5/5 HC",0.0,0.5
7,EN -> ZH,SVM-RBF,0.5254803675856308,0.6557575757575758,0.5253471349146481,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
7,EN -> ZH,GRU,0.5,0.6666666666666666,0.72,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
7,EN -> ZH,CLeaD,0.4853801169590643,0.16531165311653118,0.45122998910401474,"0/5 MDD, 5/5 HC",0.0,0.5
7,EN -> ZH,CLeaD w/o SupCon,0.5096073517126148,0.3245109321058688,0.47710027100270996,"0/5 MDD, 5/5 HC",0.0,0.5
7,ZH -> EN,LR,0.5501655629139073,0.39148936170212767,0.5498828685265623,-,0.0,0.0
7,ZH -> EN,SVM-Linear,0.5526490066225166,0.3987538940809969,0.5558605674008323,-,0.0,0.0
7,ZH -> EN,SVM-RBF,0.5642384105960265,0.3949425287356322,0.5839517046536553,-,0.0,0.0
7,ZH -> EN,GRU,0.6956521739130435,0.0,0.4803921568627451,-,0.0,0.6956521739130435
7,ZH -> EN,CLeaD,0.5322847682119205,0.23087394500408384,0.5341594561651535,-,0.0,0.0
7,ZH -> EN,CLeaD w/o SupCon,0.5504966887417219,0.19412288512911843,0.5604978896515378,-,0.0,0.0
7,ZH -> ZH,LR,0.5609857978279031,0.49592326139088727,0.5507250020953818,"3/5 MDD, 5/5 HC",0.75,0.8
7,ZH -> ZH,SVM-Linear,0.5555555555555556,0.4904214559386973,0.5437550638392982,"3/5 MDD, 5/5 HC",0.75,0.8
7,ZH -> ZH,SVM-RBF,0.5317460317460317,0.4414549078226208,0.5298941133741234,"2/5 MDD, 5/5 HC",0.5714285714285714,0.7
7,ZH -> ZH,GRU,0.5,0.0,0.28,"0/5 MDD, 5/5 HC",0.0,0.5
7,ZH -> ZH,CLeaD,0.49874686716791977,0.3095512082853855,0.5243273824490822,"1/5 MDD, 5/5 HC",0.3333333333333333,0.6
7,ZH -> ZH,CLeaD w/o SupCon,0.49122807017543857,0.21722365038560412,0.4959775654457575,"0/5 MDD, 5/5 HC",0.0,0.5
7,MIX -> EN,LR,0.6662251655629139,0.5645788336933045,0.7124257264915325,-,0.0,0.0
7,MIX -> EN,SVM-Linear,0.6900662251655629,0.6035578144853876,0.7389699952158828,-,0.0,0.0
7,MIX -> EN,SVM-RBF,0.6639072847682119,0.5223529411764706,0.6966629738105702,-,0.0,0.0
7,MIX -> EN,GRU,0.30434782608695654,0.42857142857142855,0.4705882352941176,-,0.42857142857142855,0.30434782608695654
7,MIX -> EN,CLeaD,0.651158940397351,0.44391660068619687,0.66011915997732,-,0.0,0.0
7,MIX -> EN,CLeaD w/o SupCon,0.6551324503311259,0.15496957403651115,0.6647109334210162,-,0.0,0.0
7,MIX -> ZH,LR,0.5472013366750209,0.5311418685121108,0.5436488978291845,"4/5 MDD, 5/5 HC",0.8888888888888888,0.9
7,MIX -> ZH,SVM-Linear,0.4899749373433584,0.4698219713417282,0.47234794512893585,"2/5 MDD, 4/5 HC",0.5,0.6
7,MIX -> ZH,SVM-RBF,0.5196324143692564,0.43902439024390244,0.5270492833794318,"2/5 MDD, 5/5 HC",0.5714285714285714,0.7
7,MIX -> ZH,GRU,0.5,0.6666666666666666,0.52,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
7,MIX -> ZH,CLeaD,0.5371762740183793,0.46576663452266154,0.5397521861816557,"1/5 MDD, 5/5 HC",0.3333333333333333,0.6
7,MIX -> ZH,CLeaD w/o SupCon,0.4853801169590643,0.12871287128712872,0.4927946805241248,"0/5 MDD, 5/5 HC",0.0,0.5
8,EN -> EN,LR,0.6846026490066225,0.6139817629179332,0.7511912833791269,-,0.0,0.0
8,EN -> EN,SVM-Linear,0.6832781456953643,0.6261481336720734,0.7647899006056975,-,0.0,0.0
8,EN -> EN,SVM-RBF,0.6596026490066225,0.5586088449978531,0.7108578446209008,-,0.0,0.0
8,EN -> EN,GRU,0.7391304347826086,0.0,0.5980392156862745,-,0.0,0.7391304347826086
8,EN -> EN,CLeaD,0.6778145695364238,0.6266308518802763,0.7580187092769488,-,0.0,0.0
8,EN -> EN,CLeaD w/o SupCon,0.7052980132450332,0.6053215077605322,0.7479440653486288,-,0.0,0.0
8,EN -> ZH,LR,0.5,0.2723404255319149,0.5233823652669517,"0/5 MDD, 5/5 HC",0.0,0.5
8,EN -> ZH,SVM-Linear,0.49958228905597324,0.24368686868686867,0.5139028581007459,"0/5 MDD, 5/5 HC",0.0,0.5
8,EN -> ZH,SVM-RBF,0.5334168755221387,0.2961562696912413,0.593213058419244,"0/5 MDD, 5/5 HC",0.0,0.5
8,EN -> ZH,GRU,0.5,0.0,0.76,"0/5 MDD, 5/5 HC",0.0,0.5
8,EN -> ZH,CLeaD,0.5267335004177109,0.3963771976558338,0.526648366999134,"0/5 MDD, 5/5 HC",0.0,0.5
8,EN -> ZH,CLeaD w/o SupCon,0.49832915622389307,0.19665551839464884,0.4764912133657419,"0/5 MDD, 5/5 HC",0.0,0.5
8,ZH -> EN,LR,0.5496688741721855,0.3904078888390856,0.5533007602651072,-,0.0,0.0
8,ZH -> EN,SVM-Linear,0.5490066225165563,0.3862100045065345,0.5557261297686109,-,0.0,0.0
8,ZH -> EN,SVM-RBF,0.5701986754966888,0.42131074453856443,0.5866367560844072,-,0.0,0.0
8,ZH -> EN,GRU,0.6521739130434783,0.2,0.48039215686274506,-,0.2,0.6521739130434783
8,ZH -> EN,CLeaD,0.5594370860927153,0.2747342600163532,0.5755421293034519,-,0.0,0.0
8,ZH -> EN,CLeaD w/o SupCon,0.5455298013245033,0.2845973416731822,0.5646268322947847,-,0.0,0.0
8,ZH -> ZH,LR,0.5154553049289892,0.4528301886792453,0.5072660855474533,"2/5 MDD, 5/5 HC",0.5714285714285714,0.7
8,ZH -> ZH,SVM-Linear,0.5162907268170426,0.4563380281690141,0.5090869723130221,"3/5 MDD, 5/5 HC",0.75,0.8
8,ZH -> ZH,SVM-RBF,0.5292397660818714,0.45843344545891396,0.5207477719107089,"2/5 MDD, 5/5 HC",0.5714285714285714,0.7
8,ZH -> ZH,GRU,0.5,0.2857142857142857,0.24,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
8,ZH -> ZH,CLeaD,0.49081035923141186,0.27741553052756374,0.5262886597938145,"0/5 MDD, 5/5 HC",0.0,0.5
8,ZH -> ZH,CLeaD w/o SupCon,0.5054302422723476,0.3558215451577802,0.5381003268795574,"1/5 MDD, 5/5 HC",0.3333333333333333,0.6
8,MIX -> EN,LR,0.6443708609271523,0.5291538798772468,0.6755079109860499,-,0.0,0.0
8,MIX -> EN,SVM-Linear,0.6536423841059603,0.5501075268817204,0.6954357229920946,-,0.0,0.0
8,MIX -> EN,SVM-RBF,0.6887417218543046,0.5631970260223048,0.7233077722741128,-,0.0,0.0
8,MIX -> EN,GRU,0.30434782608695654,0.38461538461538464,0.47058823529411764,-,0.38461538461538464,0.30434782608695654
8,MIX -> EN,CLeaD,0.6933774834437086,0.5666822648572766,0.7270614596082372,-,0.0,0.0
8,MIX -> EN,CLeaD w/o SupCon,0.6912251655629139,0.40774849158463006,0.7277132910941277,-,0.0,0.0
8,MIX -> ZH,LR,0.5012531328320802,0.4726148409893993,0.501228592182829,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
8,MIX -> ZH,SVM-Linear,0.5054302422723476,0.4820647419072616,0.4917588634649233,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
8,MIX -> ZH,SVM-RBF,0.49916457811194653,0.4384074941451991,0.5046747967479674,"2/5 MDD, 4/5 HC",0.5,0.6
8,MIX -> ZH,GRU,0.5,0.6666666666666666,0.44000000000000006,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
8,MIX -> ZH,CLeaD,0.4899749373433584,0.41326285439692456,0.4841568183723074,"2/5 MDD, 4/5 HC",0.5,0.6
8,MIX -> ZH,CLeaD w/o SupCon,0.4828738512949039,0.17795484727755645,0.5020667448942531,"0/5 MDD, 5/5 HC",0.0,0.5
9,EN -> EN,LR,0.6632450331125828,0.6035087719298246,0.7428803871612777,-,0.0,0.0
9,EN -> EN,SVM-Linear,0.6660596026490067,0.6215049727903922,0.7622512262061211,-,0.0,0.0
9,EN -> EN,SVM-RBF,0.378476821192053,0.5329684000995273,0.6139882475720336,-,0.0,0.0
9,EN -> EN,GRU,0.7391304347826086,0.0,0.5980392156862746,-,0.0,0.7391304347826086
9,EN -> EN,CLeaD,0.6230132450331126,0.6053042121684867,0.7306472789930694,-,0.0,0.0
9,EN -> EN,CLeaD w/o SupCon,0.6625827814569536,0.6035019455252918,0.7292503693154582,-,0.0,0.0
9,EN -> ZH,LR,0.4903926482873851,0.22588832487309646,0.49051141284608724,"0/5 MDD, 5/5 HC",0.0,0.5
9,EN -> ZH,SVM-Linear,0.4903926482873851,0.1899070385126162,0.4677849020758249,"0/5 MDD, 5/5 HC",0.0,0.5
9,EN -> ZH,SVM-RBF,0.5183792815371763,0.6754855052068675,0.5347840359846898,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
9,EN -> ZH,GRU,0.5,0.0,0.8400000000000001,"0/5 MDD, 5/5 HC",0.0,0.5
9,EN -> ZH,CLeaD,0.5012531328320802,0.45825771324863884,0.48359036683150336,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
9,EN -> ZH,CLeaD w/o SupCon,0.48621553884711777,0.37372708757637474,0.47029796328891127,"0/5 MDD, 5/5 HC",0.0,0.5
9,ZH -> EN,LR,0.536092715231788,0.3456328818309201,0.5296575266985855,-,0.0,0.0
9,ZH -> EN,SVM-Linear,0.5478476821192053,0.39216559091920766,0.5506862706821731,-,0.0,0.0
9,ZH -> EN,SVM-RBF,0.5877483443708609,0.4358858178522882,0.6003698109431993,-,0.0,0.0
9,ZH -> EN,GRU,0.6956521739130435,0.0,0.4901960784313725,-,0.0,0.6956521739130435
9,ZH -> EN,CLeaD,0.5428807947019868,0.2276923076923077,0.5311110888242331,-,0.0,0.0
9,ZH -> EN,CLeaD w/o SupCon,0.5293046357615894,0.2887165374030523,0.526567192370342,-,0.0,0.0
9,ZH -> ZH,LR,0.5346700083542189,0.4740321057601511,0.5155183974520157,"3/5 MDD, 5/5 HC",0.75,0.8
9,ZH -> ZH,SVM-Linear,0.52046783625731,0.4564393939393939,0.5073128824071745,"2/5 MDD, 5/5 HC",0.5714285714285714,0.7
9,ZH -> ZH,SVM-RBF,0.5162907268170426,0.4416586306653809,0.4992135333724471,"2/5 MDD, 4/5 HC",0.5,0.6
9,ZH -> ZH,GRU,0.5,0.0,0.31999999999999995,"0/5 MDD, 5/5 HC",0.0,0.5
9,ZH -> ZH,CLeaD,0.48621553884711777,0.25903614457831325,0.5119709161009136,"0/5 MDD, 5/5 HC",0.0,0.5
9,ZH -> ZH,CLeaD w/o SupCon,0.4949874686716792,0.36334913112164297,0.5091861537172073,"1/5 MDD, 5/5 HC",0.3333333333333333,0.6
9,MIX -> EN,LR,0.644205298013245,0.548624238605335,0.6860039560004494,-,0.0,0.0
9,MIX -> EN,SVM-Linear,0.6658940397350993,0.5806317539484622,0.7096079089444127,-,0.0,0.0
