Layer,Config,Model,Acc,F1,AUC,Speaker_Vote,Speaker_F1,Speaker_Acc
12,EN -> EN,LR,0.715066225165563,0.6440537745604964,0.7955613135296912,-,0.0,0.0
12,EN -> EN,SVM-Linear,0.7399006622516556,0.6790602655771195,0.8225608315361553,-,0.0,0.0
12,EN -> EN,SVM-RBF,0.7546357615894039,0.6020408163265306,0.8184514098101983,-,0.0,0.0
12,EN -> EN,GRU,0.5652173913043478,0.375,0.5686274509803921,-,0.375,0.5652173913043478
12,EN -> EN,CLeaD,0.7539735099337749,0.5692753623188406,0.8171579550245229,-,0.0,0.0
12,EN -> EN,CLeaD w/o SupCon,0.6788079470198676,0.6577275935074101,0.8453412644372704,-,0.0,0.0
12,EN -> ZH,LR,0.4490392648287385,0.12125249833444371,0.29951107758500267,"0/5 MDD, 5/5 HC",0.0,0.5
12,EN -> ZH,SVM-Linear,0.4628237259816207,0.059941520467836254,0.27708769871203864,"0/5 MDD, 5/5 HC",0.0,0.5
12,EN -> ZH,SVM-RBF,0.4803675856307435,0.029641185647425898,0.32935909255999773,"0/5 MDD, 5/5 HC",0.0,0.5
12,EN -> ZH,GRU,0.5,0.6153846153846154,0.64,"4/5 MDD, 1/5 HC",0.6153846153846154,0.5
12,EN -> ZH,CLeaD,0.4753550543024227,0.04704097116843703,0.3704264800379963,"0/5 MDD, 5/5 HC",0.0,0.5
12,EN -> ZH,CLeaD w/o SupCon,0.4828738512949039,0.23580246913580247,0.3775102673707149,"0/5 MDD, 5/5 HC",0.0,0.5
12,ZH -> EN,LR,0.508112582781457,0.5208837284308983,0.5355294424981234,-,0.0,0.0
12,ZH -> EN,SVM-Linear,0.5251655629139073,0.47453279589593256,0.5273618190677216,-,0.0,0.0
12,ZH -> EN,SVM-RBF,0.5044701986754967,0.2552873849216223,0.4909193110345955,-,0.0,0.0
12,ZH -> EN,GRU,0.6521739130434783,0.0,0.5196078431372549,-,0.0,0.6521739130434783
12,ZH -> EN,CLeaD,0.509271523178808,0.46862674793832915,0.5183368273984372,-,0.0,0.0
12,ZH -> EN,CLeaD w/o SupCon,0.5046357615894039,0.5166397415185784,0.5675027350178153,-,0.0,0.0
12,ZH -> ZH,LR,0.49415204678362573,0.39841033283656235,0.4468953426647668,"2/5 MDD, 4/5 HC",0.5,0.6
12,ZH -> ZH,SVM-Linear,0.48078529657477026,0.38189955246146196,0.44875883552649953,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
12,ZH -> ZH,SVM-RBF,0.46825396825396826,0.33315872184389733,0.4387792305758109,"2/5 MDD, 4/5 HC",0.5,0.6
12,ZH -> ZH,GRU,0.5,0.0,0.31999999999999995,"0/5 MDD, 5/5 HC",0.0,0.5
12,ZH -> ZH,CLeaD,0.48412698412698413,0.42370508632757814,0.46579813091945343,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
12,ZH -> ZH,CLeaD w/o SupCon,0.4653299916457811,0.4052044609665427,0.4589427402005979,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
12,MIX -> EN,LR,0.6874172185430464,0.5970977379428084,0.7257428126907691,-,0.0,0.0
12,MIX -> EN,SVM-Linear,0.7064569536423841,0.6197726785331332,0.7545044665888457,-,0.0,0.0
12,MIX -> EN,SVM-RBF,0.7112582781456953,0.5314347125201505,0.7542349943544552,-,0.0,0.0
12,MIX -> EN,GRU,0.34782608695652173,0.4,0.48039215686274506,-,0.4,0.34782608695652173
12,MIX -> EN,CLeaD,0.6880794701986755,0.5357318876293741,0.7374510648809625,-,0.0,0.0
12,MIX -> EN,CLeaD w/o SupCon,0.659271523178808,0.6361386138613861,0.8161336142912694,-,0.0,0.0
12,MIX -> ZH,LR,0.41228070175438597,0.29895366218236175,0.3517063392283407,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
12,MIX -> ZH,SVM-Linear,0.4139515455304929,0.28527763627101377,0.3584073701561758,"1/5 MDD, 4/5 HC",0.2857142857142857,0.5
12,MIX -> ZH,SVM-RBF,0.44360902255639095,0.24830699774266365,0.41119143407928926,"0/5 MDD, 4/5 HC",0.0,0.4
12,MIX -> ZH,GRU,0.5,0.6666666666666666,0.36,"5/5 MDD, 0/5 HC",0.6666666666666666,0.5
12,MIX -> ZH,CLeaD,0.4398496240601504,0.20978196817913966,0.37786997457603444,"0/5 MDD, 5/5 HC",0.0,0.5
12,MIX -> ZH,CLeaD w/o SupCon,0.45572263993316625,0.39423523942352395,0.42216250384153325,"3/5 MDD, 4/5 HC",0.6666666666666666,0.7
14,EN -> EN,LR,0.7327814569536424,0.6596372838464782,0.8026947462227025,-,0.0,0.0
14,EN -> EN,SVM-Linear,0.730794701986755,0.6634933774834437,0.8065828114920535,-,0.0,0.0
14,EN -> EN,SVM-RBF,0.7370860927152317,0.5749464668094219,0.7853686486427112,-,0.0,0.0
14,EN -> EN,GRU,0.5652173913043478,0.375,0.5686274509803921,-,0.375,0.5652173913043478
14,EN -> EN,CLeaD,0.7006622516556291,0.32987398072646407,0.7974423658348847,-,0.0,0.0
14,EN -> EN,CLeaD w/o SupCon,0.6985099337748344,0.5814755228683062,0.7514302504491901,-,0.0,0.0
14,EN -> ZH,LR,0.4189640768588137,0.09262883235485975,0.2984165898360015,"0/5 MDD, 5/5 HC",0.0,0.5
