Config,Model,Layers (Base / Large),Base_Acc,Base_F1,Base_Spk_Acc,Base_Spk_Vote,Large_Acc,Large_F1,Large_Spk_Acc,Large_Spk_Vote
EN -> EN,LR,L6 / L12,0.7147350993377484,0.638405036726128,0.0,-,0.715066225165563,0.6440537745604964,0.0,-
EN -> EN,SVM-Linear,L6 / L12,0.7230132450331126,0.6590584878744651,0.0,-,0.7399006622516556,0.6790602655771195,0.0,-
EN -> EN,SVM-RBF,L6 / L12,0.6854304635761589,0.5508274231678487,0.0,-,0.7546357615894039,0.6020408163265306,0.0,-
EN -> EN,GRU,L6 / L12,0.6956521739130435,0.5882352941176471,0.6956521739130435,-,0.5652173913043478,0.375,0.5652173913043478,-
EN -> EN,CLeaD,L6 / L12,0.706953642384106,0.6365503080082136,0.0,-,0.7697019867549669,0.6214965986394558,0.0,-
EN -> EN,CLeaD w/o SupCon,L6 / L12,0.7360927152317881,0.6224538133585978,0.0,-,0.8008278145695364,0.7036215816703622,0.0,-
EN -> ZH,LR,L6 / L12,0.4979114452798663,0.2133507853403141,0.5,"0/5 MDD, 5/5 HC",0.4490392648287385,0.1212524983344437,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,SVM-Linear,L6 / L12,0.4945697577276524,0.2361111111111111,0.5,"0/5 MDD, 5/5 HC",0.4628237259816207,0.0599415204678362,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,SVM-RBF,L6 / L12,0.4899749373433584,0.2003929273084479,0.5,"0/5 MDD, 5/5 HC",0.4803675856307435,0.0296411856474258,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,GRU,L6 / L12,0.5,0.5454545454545454,0.5,"3/5 MDD, 2/5 HC",0.6,0.7142857142857143,0.6,"5/5 MDD, 1/5 HC"
EN -> ZH,CLeaD,L6 / L12,0.4908103592314118,0.3320547945205479,0.6,"1/5 MDD, 5/5 HC",0.4770258980785296,0.0279503105590062,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,CLeaD w/o SupCon,L6 / L12,0.4699248120300752,0.2063789868667917,0.5,"0/5 MDD, 5/5 HC",0.4766081871345029,0.0543396226415094,0.5,"0/5 MDD, 5/5 HC"
ZH -> EN,LR,L6 / L12,0.5632450331125828,0.4079892280071813,0.0,-,0.508112582781457,0.5208837284308983,0.0,-
ZH -> EN,SVM-Linear,L6 / L12,0.5710264900662252,0.4197088465845465,0.0,-,0.5251655629139073,0.4745327958959325,0.0,-
ZH -> EN,SVM-RBF,L6 / L12,0.5516556291390728,0.3696461824953445,0.0,-,0.5044701986754967,0.2552873849216223,0.0,-
ZH -> EN,GRU,L6 / L12,0.6086956521739131,0.1818181818181818,0.6086956521739131,-,0.5652173913043478,0.0,0.5652173913043478,-
ZH -> EN,CLeaD,L6 / L12,0.6091059602649007,0.5045120671563483,0.0,-,0.5225165562913907,0.3879456706281833,0.0,-
ZH -> EN,CLeaD w/o SupCon,L6 / L12,0.5829470198675497,0.4839172300758041,0.0,-,0.5399006622516557,0.4451986424436015,0.0,-
ZH -> ZH,LR,L6 / L12,0.539264828738513,0.4632603406326034,0.7,"2/5 MDD, 5/5 HC",0.4941520467836257,0.3984103328365623,0.6,"2/5 MDD, 4/5 HC"
